CUSCOD,CUSTYP,CUSNMF,CUSNML,CUSDOB,ADDRS1,ADDRS2,ADDRS3,ADDRS4,CITYNM,TELENO,MOBLNO,TELXNO,FAXNO,MAILID,SPONAM,GENDER,CUSSTS,NATLID,TIMSTAMP,OPRBRA
00050034,REG,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,West Virginia,Teresaburgh,653-876-7242,249.489.4134x3524,653-876-7242,(574)544-3135x182,sk.mahbub@gmail.com,Hailey Barajas,C,INACT,9527701,2017-01-29 05:10:17.644514,009
00050035,COR,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Arkansas,Franciscostad,283-486-3794,+1-942-971-0947,283-486-3794,,golam.zubayed@example.com,,F,ACT,6617787,2011-07-23 12:39:05.422186,018
00050036,COR,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Delaware,Franciscostad,+1-283-486-3794x8029,667-319-0229,+1-283-486-3794x8029,,golam.zubayed@example.com,Vincent King,M,INACT,6885918,2023-04-22 10:50:24.997756,019
00050037,REG,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Maryland,Franciscostad,283-486-3794,001-564-699-0913,283-486-3794,986-999-9386,golam.zubayed@gmail.com,,F,ACT,3372912,2025-12-13 02:39:39.079640,017
00050038,COR,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Arizona,Franciscostad,+1-283-486-3794x8005,844.371.3493,+1-283-486-3794x8005,(932)681-2067,golam.zubayed@example.com,,C,INACT,1508921,2019-04-13 00:47:50.446818,013
00050039,STF,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,California,Franciscostad,283-486-3794,6248994717,283-486-3794,,golam.zubayed@example.com,Maria Kerr,M,SUSP,7161489,2022-08-09 02:42:48.489016,034
00050040,COR,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Arizona,Lake Crystalbury,430-639-1171,(959)940-1399x04902,430-639-1171,,mohi.uddin@example.com,Kathryn Snyder,F,SUSP,8396381,2007-09-06 08:23:08.674747,019
00050041,COR,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,New Jersey,Lake Crystalbury,001-430-639-1171x622,954-851-6808,001-430-639-1171x622,817.256.5512x5674,mohi.uddin@example.com,Catherine Richards,M,SUSP,6657028,2018-10-07 17:06:59.172934,023
00050042,COR,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,North Dakota,Lake Crystalbury,+1-430-639-1171x7005,(397)270-3482x477,+1-430-639-1171x7005,,,,C,ACT,1645394,2007-02-26 16:30:23.247098,024
00050043,STF,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,New York,Lake Crystalbury,430-639-1171,001-548-446-7737x826,430-639-1171,+1-332-448-0861x317,mohi.uddin@example.com,,F,INACT,3865595,2025-07-14 09:08:06.122517,022
00050044,COR,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 470,Lake Crystalbury,Louisiana,Lake Crystalbury,+1-430-639-1171x7314,001-965-784-0449x97278,+1-430-639-1171x7314,,mohi.uddin@gmail.com,,F,INACT,8506441,2023-05-09 06:45:40.333045,029
00050045,COR,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Wisconsin,Garciastad,564-217-0805,+1-867-253-3963,564-217-0805,,kazi.masihur@example.com,,F,INACT,9445337,2012-09-20 03:29:01.364316,040
00050046,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Washington,Garciastad,001-564-217-0805x153,(362)717-4596,001-564-217-0805x153,966.227.0289x5171,kazi.masihur@example.com,,M,SUSP,7787839,2012-06-07 22:51:10.199333,021
00050047,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 892,Garciastad,Ohio,Garciastad,564-217-0805,(357)980-9134x3161,564-217-0805,,kazi.masihur@gmail.com,,F,SUSP,9136808,2023-02-12 22:05:53.797941,050
00050048,COR,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Idaho,Garciastad,+1-564-217-0805x8076,996-693-7923,+1-564-217-0805x8076,400-450-4556x2386,,,F,SUSP,1337521,2009-05-25 23:58:56.090209,012
00050049,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Maine,Garciastad,001-564-217-0805x848,+1-982-317-5946x47436,001-564-217-0805x848,,kazi.masihur@example.com,Michael Nolan,M,SUSP,3135158,2015-05-18 07:40:26.155050,034
00050050,STF,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Maine,Teresaburgh,653-876-7242,5647090974,653-876-7242,,sk.mahbub@example.com,Kenneth Andrews,F,INACT,1692005,2025-12-04 03:42:38.000690,048
00050051,STF,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Illinois,Teresaburgh,+1-653-876-7242x8138,+1-642-710-4709x521,+1-653-876-7242x8138,,sk.mahbub@example.com,,M,ACT,8813837,2010-06-14 12:31:51.355119,039
00050052,REG,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Idaho,Teresaburgh,+1-653-876-7242x2664,928.658.8424,+1-653-876-7242x2664,,sk.mahbub@example.com,,C,INACT,2003985,2021-01-07 22:27:49.398237,018
00050053,STF,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Mississippi,Teresaburgh,+1-653-876-7242x9483,+1-349-965-1370x98593,+1-653-876-7242x9483,317-912-3685x16048,sk.mahbub@gmail.com,,C,INACT,6048885,2021-01-01 04:54:29.778184,020
00050054,COR,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Maryland,Teresaburgh,001-653-876-7242x909,+1-861-920-0471x1382,001-653-876-7242x909,,sk.mahbub@example.com,,M,INACT,3064268,2024-04-04 15:10:55.550649,003
00050055,STF,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,New Hampshire,Franciscostad,283-486-3794,551.358.5064,283-486-3794,001-586-992-6179x6405,golam.zubayed@example.com,,M,SUSP,7904413,2013-06-28 21:39:51.943589,026
00050056,COR,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Iowa,Franciscostad,001-283-486-3794x851,729-504-2284x21020,001-283-486-3794x851,513.590.0532x931,golam.zubayed@example.com,,F,INACT,4717078,2025-01-19 01:43:21.126803,009
00050057,STF,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 471,Franciscostad,Wyoming,Franciscostad,+1-283-486-3794x4746,(289)217-8390x847,+1-283-486-3794x4746,9249026811,,,M,INACT,3750991,2017-11-06 04:34:27.079488,009
00050058,REG,GOLAM MOHD ZUBAYED A,SHRAF,,433 Jill Springs,Apt. 960,Franciscostad,Rhode Island,Franciscostad,+1-283-486-3794x5664,747.989.6118x36736,+1-283-486-3794x5664,(761)877-1159x2124,golam.zubayed@example.com,,F,INACT,7726038,2026-01-16 05:08:35.069011,024
00050059,REG,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 707,Franciscostad,Washington,Franciscostad,+1-283-486-3794x7580,356-354-5271,+1-283-486-3794x7580,,golam.zubayed@example.com,,F,SUSP,9744230,2014-01-17 09:10:06.196561,012
00050060,REG,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Connecticut,Lake Crystalbury,430-639-1171,001-252-680-9885x1656,430-639-1171,,mohi.uddin@example.com,,C,INACT,9069659,2007-12-08 18:21:37.134322,043
00050061,COR,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Oregon,Lake Crystalbury,430-639-1171,268.499.8094,430-639-1171,(319)683-2731x585,mohi.uddin@example.com,,M,SUSP,7497411,2018-01-29 14:43:17.810261,031
00050062,STF,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Wisconsin,Lake Crystalbury,001-430-639-1171x757,555-802-2961x2018,001-430-639-1171x757,,mohi.uddin@gmail.com,,F,ACT,7278552,2011-07-15 22:09:33.264497,007
00050063,STF,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 487,Lake Crystalbury,Texas,Lake Crystalbury,+1-430-639-1171x2289,(979)676-4381x56149,+1-430-639-1171x2289,625-945-9910x22901,mohi.uddin@example.com,,F,ACT,1645479,2014-06-20 12:43:26.398962,032
00050064,REG,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Montana,Lake Crystalbury,430-639-1171,+1-900-834-3244x510,430-639-1171,,,,F,ACT,3200933,2006-12-24 12:03:37.430484,027
00050065,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Texas,Garciastad,564-217-0805,(816)806-0715x969,564-217-0805,,kazi.masihur@example.com,James Padilla,M,INACT,4751806,2016-01-29 01:17:59.020298,002
00050066,REG,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Montana,Garciastad,+1-564-217-0805x5534,5528975161,+1-564-217-0805x5534,,kazi.masihur@example.com,,C,ACT,9143321,2011-11-11 14:07:21.213110,030
00050067,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 375,Garciastad,North Dakota,Garciastad,564-217-0805,364-553-5218,564-217-0805,,kazi.masihur@example.com,,C,ACT,8424719,2017-11-06 07:47:38.659098,034
00050068,COR,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,New Jersey,Garciastad,+1-564-217-0805x9272,001-699-279-9552x71774,+1-564-217-0805x9272,(452)931-2432x921,kazi.masihur@example.com,,M,ACT,9157711,2024-03-10 07:43:52.537410,002
00050069,COR,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Mississippi,Garciastad,564-217-0805,511-799-8679x8079,564-217-0805,,kazi.masihur@example.com,Benjamin Murray,M,INACT,7682146,2006-10-28 10:49:41.403482,033
00050070,COR,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Mississippi,Teresaburgh,653-876-7242,666-459-0515x1864,653-876-7242,420.771.5182x03778,sk.mahbub@example.com,,F,INACT,6775114,2018-03-04 04:25:30.684176,002
00050071,REG,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Tennessee,Teresaburgh,+1-653-876-7242x9167,001-862-791-4865x281,+1-653-876-7242x9167,,sk.mahbub@example.com,Kevin Thomas,C,ACT,7268430,2013-01-25 02:36:27.791615,050
00050072,REG,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Wyoming,Teresaburgh,001-653-876-7242x453,+1-729-562-2292x706,001-653-876-7242x453,223-757-3322x1418,sk.mahbub@example.com,,F,SUSP,8592709,2006-06-08 21:47:48.364508,036
00050073,COR,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 380,Teresaburgh,Wyoming,Teresaburgh,001-653-876-7242x104,(388)362-3924x0758,001-653-876-7242x104,983.647.3597,sk.mahbub@example.com,Lisa Goodwin,M,SUSP,4424802,2021-09-30 05:49:23.387809,024
00050074,STF,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 859,Teresaburgh,Wisconsin,Teresaburgh,+1-653-876-7242x8034,(747)282-6137,+1-653-876-7242x8034,,sk.mahbub@gmail.com,,C,SUSP,5074649,2011-10-10 01:35:08.560690,034
00050075,REG,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Maine,Franciscostad,283-486-3794,827.379.0104x3289,283-486-3794,(485)236-1530x5152,golam.zubayed@example.com,,F,ACT,2716684,2014-05-15 11:26:25.482944,024
00050076,REG,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Rhode Island,Franciscostad,001-283-486-3794x187,+1-708-593-2460,001-283-486-3794x187,341.903.6971,golam.zubayed@example.com,,M,SUSP,8647607,2021-08-05 12:34:00.170004,025
00050077,COR,GOLAM MOHAMMED ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 604,Franciscostad,West Virginia,Franciscostad,001-283-486-3794x283,2517531952,001-283-486-3794x283,(718)688-8806x706,golam.zubayed@example.com,Chelsea Barnett,C,SUSP,2926695,2016-07-16 16:30:22.734562,002
00050078,REG,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 374,Franciscostad,Tennessee,Franciscostad,+1-283-486-3794x7524,(577)222-1704,+1-283-486-3794x7524,,golam.zubayed@example.com,,M,SUSP,3985332,2016-12-28 06:12:55.197808,011
00050079,REG,GOLAM MOHAMMED ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Arizona,Franciscostad,+1-283-486-3794x4686,348-768-7403x45054,+1-283-486-3794x4686,,golam.zubayed@example.com,,C,SUSP,9374772,2021-11-22 15:10:34.780733,030
00050080,STF,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Ohio,Lake Crystalbury,430-639-1171,951-215-4479x6275,430-639-1171,(876)452-7758x4161,mohi.uddin@example.com,,M,SUSP,1267772,2014-10-23 13:55:31.842170,046
00050081,COR,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,South Dakota,Lake Crystalbury,430-639-1171,9162582029,430-639-1171,,mohi.uddin@example.com,Susan Mendez,F,ACT,2350150,2014-10-08 21:23:16.267480,002
00050082,REG,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,New Hampshire,Lake Crystalbury,+1-430-639-1171x5347,001-819-328-5654x31027,+1-430-639-1171x5347,755.769.0927,mohi.uddin@gmail.com,,F,ACT,2345135,2008-08-05 19:44:54.043597,003
00050083,STF,MOHAMMAD MOHI UDDIN,,,489 Eric Track,Apt. 880,Lake Crystalbury,Kentucky,Lake Crystalbury,001-430-639-1171x195,001-973-394-7312x172,001-430-639-1171x195,,mohi.uddin@gmail.com,,M,ACT,9819517,2011-04-22 23:08:12.480580,035
00050084,REG,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 653,Lake Crystalbury,New York,Lake Crystalbury,430-639-1171,3583957829,430-639-1171,451-588-4422x58313,mohi.uddin@example.com,,M,SUSP,7023118,2022-04-13 08:59:36.124443,001
00050085,COR,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Wyoming,Garciastad,564-217-0805,+1-492-626-8018,564-217-0805,001-778-466-9125x177,kazi.masihur@example.com,,M,INACT,1942416,2012-04-04 01:04:13.405925,018
00050086,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Pennsylvania,Garciastad,001-564-217-0805x611,001-322-299-5900,001-564-217-0805x611,335-484-1438x42498,kazi.masihur@example.com,,F,ACT,2916621,2009-05-13 12:35:43.012471,029
00050087,COR,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Wyoming,Garciastad,+1-564-217-0805x8300,001-643-696-9078,+1-564-217-0805x8300,,kazi.masihur@example.com,,F,ACT,3833159,2025-01-15 16:23:16.087484,048
00050088,REG,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,Utah,Garciastad,+1-564-217-0805x4274,(447)710-2767x7359,+1-564-217-0805x4274,,,,C,INACT,5680510,2015-09-24 13:16:25.594594,043
00050089,COR,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 600,Garciastad,Montana,Garciastad,001-564-217-0805x528,(658)981-5371,001-564-217-0805x528,,kazi.masihur@example.com,Emma Travis,M,ACT,1049307,2012-12-23 14:24:55.124268,018
00050090,COR,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Wisconsin,Teresaburgh,653-876-7242,(878)977-4701,653-876-7242,704-569-6325,sk.mahbub@example.com,,F,INACT,4092832,2011-01-11 17:39:17.505473,038
00050091,COR,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Indiana,Teresaburgh,001-653-876-7242x301,001-250-304-7974,001-653-876-7242x301,,sk.mahbub@example.com,,C,INACT,3690788,2025-05-28 04:33:58.901480,020
00050092,REG,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 257,Teresaburgh,Kentucky,Teresaburgh,653-876-7242,001-356-850-6098x3584,653-876-7242,,,,M,INACT,4782260,2014-09-09 13:53:40.047385,005
00050093,REG,SK MAHBUBLLAH,KAISA,,192 Frank Light,Suite 923,Teresaburgh,Wisconsin,Teresaburgh,+1-653-876-7242x6878,+1-749-791-2165,+1-653-876-7242x6878,,sk.mahbub@gmail.com,,M,ACT,9712305,2016-02-27 05:21:55.181626,032
